,P9,P11,P12,P15,P19,P21,P22,P24,P30,P27,P1,P3,P4,P7
Activated CD4 T cell,0.800068287,0.272901044,0.260285908,0.596394253,0.329581633,0.228033505,0.060981185,0.453204079,0.72414451,0.372953516,0.757101893,0.708960371,0.850482861,0.584906953
Activated CD8 T cell,0.527431843,0.120072812,0.323273556,0.519544606,0.412933456,0.277085525,0.162044718,0.398395247,0.48965945,0.434765959,0.849782066,0.783107847,0.870776294,0.831126621
Activated dendritic cell,0.922161756,0.830709392,0.340702559,0.686296871,0.221972713,0.714843382,0.703516853,0.44615131,0.289644026,0.251249804,0.256329122,0.454167698,0.688633334,0.193621179
Central memory CD4 T cell,0.31406976,0.872310068,0.907570282,0.184142421,0.554344765,0.418485905,0.580428654,0.5616023,0.286959196,0.429553216,0.17842754,0.399184657,0.391231908,0.921689329
Central memory CD8 T cell,0.101490013,0.461847965,0.50018659,0.696646351,0.938505392,0.394048775,0.777326701,0.697327368,0.157081801,0.708866793,0.142709231,0.480210569,0.512834273,0.430918179
Effector memeory CD8 T cell,0.617387948,0.26947503,0.195055397,0.186065985,0.350624869,0.317114797,0.505272471,0.600120269,0.53769329,0.263453439,0.959813399,0.689024453,0.589831359,0.919067295
Natural killer cell,0.497467363,0.585044835,0.541450327,0.108343874,0.586832413,0.501134421,0.844835701,0.452258903,0.336853124,0.471576924,0.314937703,0.403166813,0.23818289,1
Natural killer T cell,0.297541,0.345763829,0.638138745,0.528361112,0.243395189,0.613070171,0.832815494,0.810140044,0,0.488918032,0.300972544,0.594040999,0.619236289,0.750411457
Type 1 T helper cell,0.387029825,0.224565165,0.422182026,0.49805054,0.224331358,0.260404736,0.315524208,0.508775398,0.491662388,0.335791191,0.714265733,0.680345486,0.914748085,1
Type 17 T helper cell,0.611993616,0.811604465,0.731000807,0.192519704,0.595723638,0.375243519,0.217692071,0.213495411,0.8358923,0.442711944,0.619704333,0.195729304,0.320319546,0.836369341
CD56dim natural killer cell,0.71957463,0.617506736,0.76760658,0.617506736,0.49742686,0.515438841,0.713570636,0.37134299,0.533450823,0.587486767,0.54545881,0,0,0.59349076
Macrophage,0.07986208,0.572719214,0.83391791,0.476858881,0.257905202,0.24709002,0.636228565,0.547171196,0.363704444,0.417631665,0.201639756,0.842051019,0.702262298,0.820957748
MDSC,0.622881176,0.744505495,0.25847083,0.922375911,0.373853337,0.066826853,0.489001369,0.769863257,0.517962125,0.652900549,0.070407717,0.465952649,0.60603982,0.438958911
Neutrophil,0.728100352,0.526124314,0.16038392,0.542500749,1,0.460618572,0.444242136,0.640759363,0.673512234,0.695347481,0.171301544,0.225889662,0.204054415,0.498830255
Plasmacytoid dendritic cell,0.576233107,0.677275806,0.879361203,0.620439288,0.696221312,0.734112324,0.184692651,0.462560072,0.159431976,0.708851649,0.412038722,0.184692651,0.588863445,0.115225795
Regulatory T cell,0.27249654,0.771539898,1,0.512994702,0.606009118,0.132978955,0.431479368,0.510046266,0.465714749,0.401673418,0.049920716,0.642667888,0.628652655,0.540800651
Type 2 T helper cell,0.593662912,0.490406331,0.093241402,0.467976742,0.343719681,0.537386615,0.001118449,0.614650196,0.807824939,0.488976767,0.708336132,0.809421689,0.760750426,0.282527719
Activated B cell,0.44687244,0.145487234,0.105613957,0.813465512,0.326518354,0.449755009,0.370673494,0.46699002,0.621915119,0.531377304,0.615179202,0.800726283,0.979491874,0.325934197
Gamma delta T cell,0.384842706,1,0.359324022,0.569616979,0.566384533,0.372943018,0.840572084,0.80276805,0.30756925,0.529694447,0.294524617,0.312189922,0.253791926,0.323387102
Immature  B cell,0.292695488,0.280159499,0.386319084,0.549938603,0.334677892,0.26156685,0.297422893,0.496717042,0.577910953,0.361090315,0.560883375,0.811316439,1,0.627201218
Mast cell,0.408535143,0.884818734,0.741677543,0.255465723,0.6427805,0.45347335,0.886434677,0.785403791,0.364932603,0.460966753,0.249253437,0.263490658,0.118310752,0.484456336
Memory B cell,0.629536914,0.634788222,0.573411077,0.770561565,0.336563876,0.620886927,0.614800484,0.43069223,0.793998572,0.557716177,0.021023396,0.095140118,0.183469589,0.737410853
Monocyte,0.521064095,0.435824594,0.344169979,0.53691944,0.079870849,0.341543923,0.216746608,0.455761489,0.505470524,0.32008559,0.779442837,0.883532112,0.980770377,0.598797583
T follicular helper cell,0.292254033,0.463590583,1,0.640435776,0.162895856,0.763249592,0.637769402,0.504905729,0.236716529,0.602670824,0.377200388,0.343876088,0.453870537,0.37987852